"","artist","n"
"1770","daniel powter",13
"1771","daniel verstappen",1
"1772","danism & haze",1
"1773","dankann",1
"1774","danni minogue",1
"1775","dannic",4
"1776","dannic vs. silvio ecomo",8
"1777","danny",1
"1778","danny and dusty",1
"1779","danny blue and the old socks",14
"1780","danny byrd",6
"1781","danny byrd & netsky",2
"1782","danny canters",1
"1783","danny cardo",9
"1784","danny de munk",12
"1785","danny de roover",17
"1786","danny diego",70
"1787","danny elfman",1
"1788","danny fabry",130
"1789","danny fabry & bart anneessens cops",46
"1790","danny fabry & bert anneessens cops",1
"1791","danny joe",1
"1792","danny landelo",8
"1793","danny mirror",3
"1794","danny nicolay",3
"1795","danny tenaglia & celeda",2
"1796","danny tenaglia/celeda",1
"1797","danny williams",4
"1798","danny wilson",4
"1799","dante klein & dylan jagger ft. feli ferr...",3
"1800","dante thomas",1
"1801","dante thomas ft. pras michel",5
"1802","dany brillant",1
"1803","danyel dirk",8
"1804","danyel gerard",3
"1805","danzel",2
"1806","daphni",1
"1807","dario",13
"1808","dario g",8
"1809","darius syrossian",2
"1810","darryl hall & john oates",1
"1811","darts",2
"1812","darude",7
"1813","daryl hall & john oates",93
"1814","das pop",52
"1815","dash berlin ft. emma hewitt",2
"1816","dastic ft. cade",2
"1817","datsuns",1
"1818","daughter",1
"1819","dave",7
"1820","dave armstrong & redroche ft. h-boogie",3
"1821","dave berry",7
"1822","dave brubeck",1
"1823","dave clark five",2
"1824","dave clarke",1
"1825","dave clarke ft. mark lanegan",1
"1826","dave davies",2
"1827","dave dee dozy beaky mick & tich",2
"1828","dave dee dozy beaky mick and tich",1
"1829","dave edmunds",11
"1830","dave grusin & lee ritenour",2
"1831","dave mccullen",2
"1832","dave stewart and candy dulfer",2
"1833","daviany",2
"1834","david a. stewart and candy dulfer",1
"1835","david bowie",222
"1836","david bowie and pat metheny",1
"1837","david bowie and pat metheny group",11
"1838","david bowie ft. mick jagger",23
"1839","david bowie ft. tina turner",20
"1840","david byrne",33
"1841","david charvet",3
"1842","david christie",1
"1843","david dundas",4
"1844","david garrick",2
"1845","david grant & jaki graham",1
"1846","david gray",2
"1847","david guetta",4
"1848","david guetta & afrojack",58
"1849","david guetta & afrojack ft. french montana & charli xcx",4
"1850","david guetta & cedric gervais ft. chris...",4
"1851","david guetta & chris willis ft. fergie & lmfao",2
"1852","david guetta & justin bieber",11
"1853","david guetta & zara larsson",1
"1854","david guetta afrojack",31
"1855","david guetta afrojack sia",3
"1856","david guetta ft. akon",11
"1857","david guetta ft. charli xcx & french montana",6
"1858","david guetta ft. chris willis",3
"1859","david guetta ft. cozi",3
"1860","david guetta ft. emeli sande",3
"1861","david guetta ft. flo rida & nicki minaj",3
"1862","david guetta ft. justin bieber",9
"1863","david guetta ft. kelly rowland",18
"1864","david guetta ft. kid cudi",16
"1865","david guetta ft. ne-yo & akon",2
"1866","david guetta ft. nicki minaj & afrojack",4
"1867","david guetta ft. sam martin",21
"1868","david guetta ft. showtek & vassy",2
"1869","david guetta ft. sia",10
"1870","david guetta ft. sia & fetty wap",1
"1871","david guetta ft. taio cruz & ludacris",1
"1872","david guetta ft. tara mcdonald",1
"1873","david guetta ft. the egg",1
"1874","david guetta ft. usher",11
"1875","david guetta ft. zara larsson",9
"1876","david guetta vs. the egg",1
"1877","david harness",1
"1878","david hasselhoff",2
"1879","david joseph",1
"1880","david lindley",1
"1881","david mc williams",6
"1882","david mcwilliams",1
"1883","david morales",1
"1884","david soul",4
"1885","david sylvian",1
"1886","david tort & markem & yas cepeda ft. ell...",1
"1887","david tort ft. dennisse jackson",2
"1888","david vandyck",49
"1889","david vendetta",1
"1890","david zowie",7
"1891","davy dilamo",2
"1892","davy gilles",11
"1893","dawn",4
"1894","dawn ft. tony orlando",1
"1895","dawn penn",1
"1896","daya",1
"1897","dayme arocena",2
"1898","dayton",3
"1899","dazz band",13
"1900","db boulevard",3
"1901","db boulevard ft. moony",4
"1902","dbangz",3
"1903","dc salas",1
"1904","de 3j's",5
"1905","de alpenzusjes",20
"1906","de berini's",1
"1907","de boswachters",3
"1908","de deurzakkers",4
"1909","de dijk",11
"1910","de dikdakkers",3
"1911","de elegasten",3
"1912","de fabeltjeskrant",1
"1913","de gangmakers",1
"1914","de gantwerprappers",2
"1915","de gebroeders brouwer",4
"1916","de gebroeders grimm",2
"1917","de gebroeders ko",9
"1918","de gebroeders rossig",1
"1919","de geest",50
"1920","de grietjes",2
"1921","de groote faes duo",1
"1922","de havenzangers",29
"1923","de held",10
"1924","de hollandio's",2
"1925","de jantjes",1
"1926","de jazzpolitie",5
"1927","de jeugd van tegenwoordig",62
"1928","de jeugd van tegenwoordig + skee-lo",1
"1929","de jeugd van tegenwoordig + the clash",1
"1930","de jeugd van tegenwoordig x cardi b",1
"1931","de kast",2
"1932","de kleine zeemeermin",1
"1933","de kleinkeinder",2
"1934","de kreuners",138
"1935","de la soul",41
"1936","de la soul - me",2
"1937","de la soul & chaka khan",1
"1938","de la soul + justin timberlake",1
"1939","de la soul ft. chaka khan",1
"1940","de lage landen",1
"1941","de lawine boys",1
"1942","de lawineboys",4
"1943","de leidse sleutelgaten",1
"1944","de makkers",6
"1945","de marlets",8
"1946","de meiden",78
"1947","de mens",64
"1948","de mens met sarah bettens",1
"1949","de miekes",1
"1950","de ministers van de noordzee",5
"1951","de moeflons",1
"1952","de mounties",3
"1953","de nieuwe snaar",21
"1954","de nostalgiejaas",2
"1955","de post",2
"1956","de romeo's",80
"1957","de sellina's",3
"1958","de sjonnies",1
"1959","de souza",1
"1960","de stoempers",4
"1961","de strangers",28
"1962","de vrijbuiters",2
"1963","de zangeres zonder naam",22
"1964","de zware jongens",2
"1965","de©reten",2
"1966","deacon blue",2
"1967","dead or alive",18
"1968","deadmau5",1
"1969","deadmau5 ft. chris james",3
"1970","deadmau5 ft. grabbitz",1
"1971","deadmau5 ft. kaskade",1
"1972","deadmau5 ft. rob swire",2
"1973","dean",29
"1974","dean martin",8
"1975","deans",4
"1976","death cab for cutie",2
"1977","debarge",9
"1978","debbie harry",3
"1979","debut de soiree",3
"1980","declan mckenna",3
"1981","decoy & roy",1
"1982","dee c lee",1
"1983","deee-lite",21
"1984","deep blue something",28
"1985","deep dish",3
"1986","deep purple",15
"1987","deep swing",1
"1988","deep zone",3
"1989","deepend & janieck",86
"1990","deepswing",4
"1991","deetron ft.ben westbeech",2
"1992","def dames dope",5
"1993","del amitri",5
"1994","del tha funkee homosapien",1
"1995","delavega",2
"1996","dele divane",1
"1997","delegation",35
"1998","delerium",8
"1999","delerium ft. sarah mclachlan",15
"2000","delfonics",1
"2001","delilah",1
"2002","delirium",1
"2003","della bosiers",7
"2004","della reese",1
"2005","dells the",1
"2006","delv!s",84
"2007","delv!s + cameo",1
"2008","demi lovato",33
"2009","demis roussos",9
"2010","demon vs. heartbreaker",1
"2011","deniece williams",37
"2012","denise lasalle",4
"2013","deniz koyu",2
"2014","denney",1
"2015","dennie christian",48
"2016","dennie damaro",158
"2017","dennis alberti",10
"2018","dennis christopher",2
"2019","dennis edwards & siedah garret",14
"2020","dennis edwards and siedah garrett",1
"2021","dennis ferrer",10
"2022","dennis jones",1
"2023","deodato",17
"2024","deorro ft. chris brown",3
"2025","deorro ft. dycy",3
"2026","deorro ft. elvis crespo",4
"2027","department s",3
"2028","depeche mode",120
"2029","depedro",3
"2030","derek & the dirt",1
"2031","derek and the dominoes",2
"2032","derek and the dominos",9
"2033","dermot kennedy",17
"2034","derrick l. carter",1
"2035","des'ree",31
"2036","desiigner",8
"2037","desireless",18
"2038","desmond dekker",2
"2039","destination",5
"2040","destiny's child",117
"2041","destinys child + will smith",1
"2042","detlef",1
"2043","detroit's filthiest",1
"2044","detroit emeralds",3
"2045","detroit spinners",1
"2046","detroits filthiest",1
"2047","detroits filthiest x pryda xx jedelo mix",1
"2048","deurzakkers",4
"2049","deus",59
"2050","deus + the killers",1
"2051","devo",1
"2052","dexy's midnight runners",25
"2053","dexy's midnight runners and the emerald express",6
"2054","dexys midnight runners",8
"2055","dez mona",3
"2056","dez mona ft. tijs delbeke",1
"2057","di martinelli ft. sophie galpin",8
"2058","diana king",8
"2059","diana krall",4
"2060","diana kroll",1
"2061","diana ross",139
"2062","diana ross & the supremes",11
"2063","diana ross and the supremes",19
"2064","diana ross ft. michael jackson",17
"2065","diana ross ft. the supremes",8
"2066","dick van altena",1
"2067","dida",1
"2068","diddy - dirty money ft. skylar grey",5
"2069","didier barbelivien & felix gray",1
"2070","didier sinclair",3
"2071","dido",25
"2072","die antwoord",1
"2073","die flippers",1
"2074","die grubertaler",2
"2075","die matrosen in lederhosen",3
"2076","die paldauer",1
"2077","diego holzken",55
"2078","diego modena",5
"2079","dieter thomas kuhn",1
"2080","dietwin de jodelaar",2
"2081","different gear ft. sia",1
"2082","diggy dex",2
"2083","diggy dex & eva de roovere",1
"2084","diggy dex ft. eva de roovere",8
"2085","dijf sanders",1
"2086","dikdakkers",26
"2087","dikke leo",2
"2088","dikke mik",1
"2089","dillinger",1
"2090","dillon francis",4
"2091","dimaro ft. chady",4
"2092","dimi",2
"2093","dimitri dourakine",2
"2094","dimitri van toren",21
"2095","dimitri van toren & bart herman",4
"2096","dimitri vegas & like mike",38
"2097","dimitri vegas & like mike & david guetta",4
"2098","dimitri vegas & like mike & diplo",1
"2099","dimitri vegas & like mike & diplo ft. d...",2
"2100","dimitri vegas & like mike & kiiara & david guetta",37
"2101","dimitri vegas & like mike & regi",3
"2102","dimitri vegas & like mike ft. martin garrix",2
"2103","dimitri vegas & like mike ft. ne-yo",20
"2104","dimitri vegas & like mike ft. ummet ozcan",1
"2105","dimitri vegas & like mike ft. wolfpack & katy b",6
"2106","dimitri vegas & like mike vs bruno mars",1
"2107","dimitri vegas & like mike vs david guetta + selah sue",1
"2108","dimitri vegas & like mike vs david guetta ft. kiiara",2
"2109","dimitri vegas & like mike vs david guetta ft. kiiara + de jeugd van tegenwoordig",1
"2110","dimitri vegas & like mike vs major lazer",1
"2111","dimitri vegas & like mike vs w&w",1
"2112","dimitri vegas & like mike vs. david guetta ft. kiiara",47
"2113","dimitri vegas & like mike vs. diplo ft. deb's daughter",4
"2114","dimitri vegas & like mike vs. fedde le g...",2
"2115","dimitri vegas & like mike vs. w&w",10
"2116","dimitri vegas & like mike vs. wandw",18
"2117","dimitri vegas & like mike x quintino ft. boef ronnie flex ali b & i am aisha",48
"2118","dimitri vegas ft. like mike & ummet ozcan",4
"2119","dimitri vegas ft. moguai & like mike & julian perretta",4
"2120","dimitri vegas like mike & regi",1
"2121","dina caroll",5
"2122","dina carroll",1
"2123","dina rodrigues",51
"2124","dinah shore",2
"2125","dinah washington",1
"2126","dinky toys",44
"2127","dinky toys ft. bea luna",1
"2128","dinosaur jr",1
"2129","dinosaur jr.",1
"2130","dion",2
"2131","dion & the belmonts",1
"2132","dionne warwick",33
"2133","dionne warwick & friends",2
"2134","dionne warwick and friends",1
"2135","diplo ft. mo",92
"2136","diplo ft. mø",26
"2137","diplo ft. mo & goldlink",1
"2138","diplo ft. sleepy tom",5
"2139","dire straits",169
"2140","dire straits ft. sting",4
"2141","dirk blanchart",25
"2142","dirk.",15
"2143","diron animal",1
"2144","dirt band & linda ronstadt",2
"2145","dirtmusic",3
"2146","dirty south & alesso ft. ruben haze",1
"2147","dirty south vs. evermore",1
"2148","dirty vegas",3
"2149","disciples",149
"2150","disciples + michael jackson",1
"2151","disciples + st germain",1
"2152","disciples + the national",1
"2153","disciples ft. david guetta",1
"2154","disclosure",7
"2155","disclosure + a brand",1
"2156","disclosure ft. alunageorge",8
"2157","disclosure ft. eliza doolittle",5
"2158","disclosure ft. gregory porter",3
"2159","disclosure ft. london grammar",3
"2160","disclosure ft. mary j blige",2
"2161","disclosure ft. sam smith",24
"2162","disco connection",1
"2163","disco incorporated",1
"2164","discobitch",2
"2165","disney",1
"2166","divine",2
"2167","divinyls",6
"2168","dizkodude & pat krimson ft. luke august",1
"2169","dizzee rascal",8
"2170","dizzee rascal & armand van helden",3
"2171","dizzee rascal & calvin harris",1
"2172","dizzee rascal + moloko",1
"2173","dizzee rascal ft. armand van helden",2
"2174","dizzee rascal ft. robbie williams",1
"2175","dizzy man`s band",1
"2176","dizzy mandjeku & alé kumà",1
"2177","dizzy mandjeku et ale kuma",2
"2178","dj bobo",9
"2179","dj bompa",4
"2180","dj cassidy ft. r.kelly",2
"2181","dj f.r.a.n.k",1
"2182","dj f.r.a.n.k ft. danzel",1
"2183","dj f.r.a.n.k.",1
"2184","dj fonzz",3
"2185","dj fresh",4
"2186","dj fresh ft. ms dynamite",6
"2187","dj fresh ft. rita ora",6
"2188","dj fresh ft. sian evans",8
"2189","dj fresh netsky",1
"2190","dj fresh vs diplo ft. dominique young unique",1
"2191","dj fresh vs diplo ft. selah sue craig david & r city",2
"2192","dj ghost",1
"2193","dj jazzy jeff and the fresh prince",5
"2194","dj jazzy jeff ft. the fresh prince",4
"2195","dj joe t vannelli",3
"2196","dj khaled ft. beyonc? & jay-z",6
"2197","dj khaled ft. beyonce & jay-z",2
"2198","dj khaled ft. chance the rapper & justin...",4
"2199","dj khaled ft. drake",1
"2200","dj khaled ft. justin bieber quavo chance the rapper & lil wayne",9
"2201","dj khaled ft. ludacris rick ross t-pain & snoop dogg",2
"2202","dj khaled ft. rihanna & bryson tiller",17
"2203","dj khaled ft. rihanna & bryson tiller + muse",2
"2204","dj khaled ft. rihanna + bastille",2
"2205","dj khaled ft. t-pain ludacris snoop dogg & rick ross",1
"2206","dj licious",41
"2207","dj marco bailey",1
"2208","dj maurice",1
"2209","dj niks",1
"2210","dj oetzi",4
"2211","dj on",1
"2212","dj otzi",2
"2213","dj ötzi",4
"2214","dj paul elstak",2
"2215","dj rolando",7
"2216","dj shadow",1
"2217","dj snake & aluna george + fatboy slim",1
"2218","dj snake & justin bieber",22
"2219","dj snake ft. alunageorge",2
"2220","dj snake ft. bipolar sunshine",14
"2221","dj snake ft. george maple",2
"2222","dj snake ft. justin bieber",16
"2223","dj snake ft. lauv",95
"2224","dj snake ft. lauv + selah sue",2
"2225","dj snake ft. lil jon",1
"2226","dj sneak",1
"2227","dj tiesto ft. maxi jazz",3
"2228","django django",14
"2229","django reinhardt",5
"2230","django wagner",3
"2231","djuma soundsystem",9
"2232","dmx",5
"2233","dna ft. suzanne vega",20
"2234","dnce",48
"2235","dodgy",4
"2236","doe maar",75
"2237","doe maar & kenny b",1
"2238","doe maar en kenny b",4
"2239","dof",5
"2240","dog eat dog",3
"2241","dolly dots",47
"2242","dolly parton",42
"2243","dolly parton ft. kenny rogers",3
"2244","dom um romao",1
"2245","doman & gooding ft. dru & lincoln",2
"2246","domenico modugno",1
"2247","dominique collier",2
"2248","don diablo",23
"2249","don drummond",1
"2250","don henley",11
"2251","don mcclean",1
"2252","don mclean",11
"2253","don mercedes",10
"2254","don rosenbaum",5
"2255","donald byrd",4
"2256","donald fagen",17
"2257","donna hightower",5
"2258","donna lewis",9
"2259","donna summer",132
"2260","donna summer (disco)",1
"2261","donnel jones",1
"2262","donnie",1
"2263","donny & mary osmond",3
"2264","donny hathaway",2
"2265","donovan",7
"2266","doobie brothers",27
"2267","dooley silverspoon",1
"2268","doors",3
"2269","dopebwoy ft. chivv & 3robi",9
"2270","doran",12
"2271","doraus und marinas",2
"2272","doris d & the pins",7
"2273","doris d and the pins",1
"2274","doris day & the pins",1
"2275","dorothy moore",1
"2276","dorus",7
"2277","dotan",50
"2278","double",12
"2279","double trouble & the rebel m.c.",1
"2280","double trouble ft. rebel mc",2
"2281","double you",12
"2282","douglas firs",50
"2283","dr alban",26
"2284","dr buzzard's original savanah band",1
"2285","dr dre + das pop",1
"2286","dr funk mix",11
"2287","dr hook",3
"2288","dr. alban",33
"2289","dr. dre",3
"2290","dr. dre ft. snoop dogg",11
"2291","dr. hook",6
"2292","dr. john",2
"2293","dr. john and rickie lee jones",1
"2294","dr. kucho!",1
"2295","dr. kucho! & gregor salto ft. ane brun",2
"2296","dr.alban",8
"2297","dr.hook",1
"2298","drake",131
"2299","drake & future",3
"2300","drake (feat. wizkid & kyla)",1
"2301","drake + gregory porter",1
"2302","drake ft. majid jordan",9
"2303","drake ft. quavo & travi$ scott",1
"2304","drake ft. rihanna",15
"2305","drake ft. wizkid & kyla",33
"2306","drake ft. wizkid & kyla + blessid union of souls",1
"2307","drake ft. wizkid and kyla",8
"2308","dream academy",2
"2309","dream express",6
"2310","dream wife",1
"2311","dries roelvink",3
"2312","drifters",18
"2313","driver's seed",1
"2314","drivers seed ft. mc ramon",1
"2315","dropkick murphys",1
"2316","dropout ft. wendy sarmiento",2
"2317","drs. p",1
"2318","dru hill",1
"2319","drugstore",1
"2320","drukwerk",16
"2321","drupi",5
"2322","dschinghis kahn",6
"2323","dua lipa",465
"2324","dua lipa & chris martin",151
"2325","dua lipa + gossip",2
"2326","dua lipa + hooverphonic",2
"2327","dua lipa + prince",1
"2328","dua lipa + the human league",1
"2329","dua lipa ft. chris martin",62
"2330","dua lipa ft. chris martin vs mc fioti future j balvin stefflon don & juan magan",1
"2331","dua lipa vs felix jaehn",1
"2332","dubvision & afrojack",1
"2333","duck sauce",13
"2334","dude martin and his roundup gang",1
"2335","duende doble",6
"2336","duffy",61
"2337","duke",12
"2338","duke dumont",16
"2339","duke dumont & gorgon city",3
"2340","duke dumont + starsailor",1
"2341","duke dumont ft. a*m*e",6
"2342","duke dumont ft. jax jones",17
"2343","duke ellington and famous orchestra",1
"2344","dumont & wagener",1
"2345","duncan browne",1
"2346","duo danny en marleen",1
"2347","duo gerard schoonebeek",4
"2348","duo knotsgek",3
"2349","duo x",1
"2350","duonl",30
"2351","duran duran",128
"2352","dusty springfield",39
"2353","dusty springfield and the pet shop boys",12
"2354","duveltjeskermis",1
"2355","dvandlm ft. quintino & boef & ronnie fle...",45
"2356","dvbbs & cmc$ ft. gia koka",1
"2357","dvbbs ft. borgeous",8
"2358","dvbbs ft. gia koka",4
"2359","dvtch norris ft. yann gaudeuille",4
"2360","dwight yokam",6
"2361","dynamite",4
"2362","dynasty",5
"2363","e.g. daily",6
"2364","e.m.f.",2
"2365","eagle-eye cherry",4
"2366","eagle eye cherry",36
"2367","eagles",43
"2368","eamon",2
"2369","earl",1
"2370","earl klugh",1
"2371","earth",1
"2372","earth & fire",11
"2373","earth and fire",1
"2374","earth wind & fire",2
"2375","earth wind and fire with the emotions",6
"2376","earth, wind & fire",110
"2377","earth, wind & fire ft. the emotions",23
"2378","eartha kitt",10
"2379","east 17",7
"2380","easybeats",1
"2381","eats everything & dajae",1
"2382","echo & the bunnymen",1
"2383","echo and the bunnymen",12
"2384","echosmith",6
"2385","echte vrienden",8
"2386","ed & willem bever",1
"2387","ed kooyman",2
"2388","ed kooyman & herman van haeren",1
"2389","ed kooyman en herman van haeren",1
"2390","ed nieman",2
"2391","ed rush & optical",1
"2392","ed sheeran",703
"2393","ed sheeran & andrea bocelli",3
"2394","ed sheeran & beyonce",73
"2395","ed sheeran + limp bizkit",1
"2396","ed sheeran eve",1
"2397","ed sheeran five",1
"2398","ed sheeran ft. beyonce",1
"2399","ed sheeran ft. pharrell williams",1
"2400","ed sheeran vs låpsley",1
"2401","eddie amador",1
"2402","eddie cochran",1
"2403","eddie floyd",2
"2404","eddie hodges",2
"2405","eddie money ft. ronnie spector",5
"2406","eddie rabbit",2
"2407","eddie rabbitt",2
"2408","eddie smets",38
"2409","eddie vedder",7
"2410","eddy & the soul band",2
"2411","eddy and the soulband",1
"2412","eddy becker",2
"2413","eddy et les vedettes",3
"2414","eddy grant",36
"2415","eddy smets",2
"2416","eddy wally",24
"2417","eddy warco",1
"2418","eddy williams",1
"2419","eden",1
"2420","edie brickell & new bohemians",1
"2421","edie brickell & the new bohemians",2
"2422","edie brickell ft. new bohemians",4
"2423","edison lighthouse",2
"2424","edith piaf",8
"2425","editors",157
"2426","editors + prince",1
"2427","edje ska",3
"2428","edoardo vianello",1
"2429","edrie",2
"2430","eduardo bennato",3
"2431","edward sharpe & the magnetic zeros",1
"2432","edwin bos",11
"2433","edwin hawkin singers",1
"2434","edwin hawkins singers",4
"2435","edwin rutten",3
"2436","edwin starr",20
"2437","edwyn collins",24
"2438","edx",101
"2439","eefje de visser",17
"2440","eelke kleijn ft. therese",1
"2441","eels",79
"2442","eg and alice",1
"2443","egbert douwe",6
"2444","ego troopers & sound of stereo",1
"2445","eiffel 65",14
"2446","ekkah x real love",1
"2447","el debarge",4
"2448","el junctacadaveres",1
"2449","el vy",4
"2450","elaine paige",2
"2451","elaine paige & barbara dickson",2
"2452","elbow",64
"2453","elbow bones & racketeers",1
"2454","elbow bones & the racketeers",5
"2455","elderbrook ft. andhim",6
"2456","electric light orchestra",57
"2457","electronic system",1
"2458","elegance",1
"2459","eléonor",1
"2460","elgins",6
"2461","eli goffa",2
"2462","elias",2
"2463","elis regina & toots thielemans",1
"2464","elisa tovati ft. tom dice",10
"2465","elisa waut",12
"2466","eliza doolittle",25
"2467","elke",50
"2468","elke taelman",4
"2469","elkie brooks",6
"2470","elko b",1
"2471","elko blijweert en joris caluwaerts",1
"2472","ella eyre",2
"2473","ella fitzgerald",3
"2474","ella fitzgerald & count basie",2
"2475","ella fitzgerald and joe pass",1
"2476","ella fitzgerald en toots thielemans",1
"2477","ella henderson",1
"2478","elle king",3
"2479","ellen foley",2
"2480","ellen jannink",1
"2481","elli medeiros",9
"2482","ellie golding",6
"2483","ellie goulding",150
"2484","ellie medeiros",2
"2485","elliott murphy",3
"2486","elliott smith",15
"2487","ellis",13
"2488","ellis beggs & howard",4
"2489","ellis beggs and howard",7
"2490","elly & rikkert",1
"2491","elly nieman",1
"2492","elphy",1
"2493","els de schepper",10
"2494","elsie moraïs",2
"2495","elton john",171
"2496","elton john & france gall",1
"2497","elton john & gary barlow",1
"2498","elton john & kiki dee",5
"2499","elton john and france gall",1
"2500","elton john and kiki dee",13
"2501","elton john ft. kiki dee",1
"2502","elton john/kiki dee",2
"2503","elvin jones",1
"2504","elvis costello",30
"2505","elvis costello & the attractions",2
"2506","elvis costello and nick lowe",1
"2507","elvis costello and the attractions",1
"2508","elvis crespo",4
"2509","elvis ft. junkie xl",23
"2510","elvis presley",62
"2511","elvis presley with the royal philharmonic orchestra",1
"2512","elvis versus jxl",5
"2513","elvis vs. junkie xl",6
"2514","elz bakker",4
"2515","emeli sande",133
"2516","emerson lake and palmer",1
"2517","emf",23
"2518","emil landman",1
"2519","emilia",20
"2520","emiliana torrini",14
"2521","emilie-claire barlow",1
"2522","emilie sande ft. naughty boy",7
"2523","eminem",27
"2524","eminem ft. beyonce",12
"2525","eminem ft. dido",11
"2526","eminem ft. ed sheeran",273
"2527","eminem ft. ed sheeran + gorillaz",2
"2528","eminem ft. ed sheeran + rihanna",1
"2529","eminem ft. nate dogg",1
"2530","eminem ft. rihanna",21
"2531","eminem lore",1
"2532","emly starr",2
"2533","emma bale",50
"2534","emma bale ft. milow",17
"2535","emma bunton",6
"2536","emmanuel top",3
"2537","emmelie de forest",3
"2538","emmylou harris",12
"2539","emotions",8
"2540","empire of the sun",16
"2541","en vogue",30
"2542","endor",2
"2543","energy 52",3
"2544","engelbert humperdinck",7
"2545","enigma",7
"2546","ennio morricone",5
"2547","enrique iglesias",125
"2548","enrique iglesias & bad bunny",4
"2549","enrique iglesias ft. bad bunny",28
"2550","enrique iglesias ft. ciara",5
"2551","enrique iglesias ft. descemer bueno zion & lennox",1
"2552","enrique iglesias ft. kelis",2
"2553","enrique iglesias ft. pitbull & the wav.s",2
"2554","enrique iglesias ft. sammy adams",4
"2555","enrique iglesias ft. sean paul & descemer bueno & gente de zona",18
"2556","enrique iglesias ft. whitney houston",3
"2557","enrique iglesias ft. wisin",16
"2558","enter shikari",4
"2559","enya",7
"2560","enzo",8
"2561","ephemerals",1
"2562","equal idiots",43
"2563","equal idiots + beck",1
"2564","equal idiots ft. puddle of mud & nirvana",3
"2565","era istrefi",2
"2566","erasure",7
"2567","eric andersen",1
"2568","eric b. & rakim",1
"2569","eric beekes",2
"2570","eric carmen",8
"2571","eric clapton",79
"2572","eric flanders",20
"2573","eric legnini",1
"2574","eric marijsse",1
"2575","eric prydz",49
"2576","eric prydz ft. floyd",2
"2577","erick e",3
"2578","erik & sanne",12
"2579","erik en sanne",6
"2580","erik hulzebosch",1
"2581","erik marijsse",9
"2582","erik mesie",4
"2583","erik van klinken",7
"2584","erik van neygen",29
"2585","erik van neygen en sanne",1
"2586","eriksson delcroix and sun sun sun orchestra",3
"2587","erna temming",4
"2588","ernst jansz",1
"2589","erol alkan & boys noize",1
"2590","eros ramazzotti",35
"2591","eros ramazzotti ft. anastacia",3
"2592","eros ramazzotti ft. tina turner",16
"2593","erroll dunkley",1
"2594","ertebrekers",31
"2595","eruption",8
"2596","erykah badu",3
"2597","erykah badu/common",1
"2598","erykah badu/guru",1
"2599","eskobar ft. heather nova",24
"2600","esme bos",2
"2601","espen lind",8
"2602","estelle",1
"2603","estelle ft. kanye west",32
"2604","esther philips",3
"2605","eternal",9
"2606","eternal and bebe winans",4
"2607","etienne daho",6
"2608","etienne de crecy",4
"2609","etta james",16
"2610","europe",21
"2611","eurythmics",91
"2612","eurythmics + junior jack",1
"2613","eurythmics ft. aretha franklin",18
"2614","eva cassidy",1
"2615","eva de roovere",34
"2616","eva geist",1
"2617","eva maria",1
"2618","eva simons",2
"2619","eva simons ft. konshen",2
"2620","eva simons ft. konshens",2
"2621","evanescence",10
"2622","eve",7
"2623","eve + sweet coffee",1
"2624","eve and gwen stefani",4
"2625","eve ft. gwen stefani",6
"2626","eve ft. sean paul",2
"2627","eveline cannoot",85
"2628","evelyn ""champagne"" king",8
"2629","evelyn champagne king",4
"2630","evelyn thomas",4
"2631","everly brothers",8
"2632","evert van huygevoort",4
"2633","everything but the girl",36
"2634","evgeny lebedev ft. kate miles",1
"2635","evha",3
"2636","evi goffin",5
"2637","evi roelen & pierre anckaert",1
"2638","evil superstars",7
"2639","ewert and the two dragons",1
"2640","example",19
"2641","exile",10
"2642","extince",2
"2643","extreme",11
"2644","extreme trax",3
"2645","f.r. david",22
"2646","f.u.s.e. (aka richie hawtin)",1
"2647","faberyayo",4
"2648","fabo",1
"2649","fabrizio faniello",4
"2650","faces on tv",40
"2651","fad gadget",3
"2652","fadim",8
"2653","fair phillis",3
"2654","fairground attraction",9
"2655","faith",1
"2656","faith evans",7
"2657","faith hill",6
"2658","faith no more",17
"2659","faithless",70
"2660","faithless + editors",1
"2661","fake blood",2
"2662","falco",46
"2663","fall out boy",8
"2664","family of the year",30
"2665","famke louise ft. donnie & joost",4
"2666","famkelouise",1
"2667","fantasticos",9
"2668","fantastique",3
"2669","fantasy",4
"2670","fantoom",3
"2671","far east movement ft. bruno mars",3
"2672","far east movement ft. cataracs & dev",6
"2673","far east movement ft. the cataracs & dev",1
"2674","farley 'jackmaster' funk",1
"2675","farley jackmaster funk",2
"2676","fastball",2
"2677","fat joe ft. ashanti",1
"2678","fat larry's band",18
"2679","fatback band",5
"2680","fatboy slim",14
"2681","fatboy slim & riva starr - eat",1
"2682","fatboy slim ft. riva starr & beardyman",2
"2683","father john misty",15
"2684","fatima yamaha",2
"2685","fatima yamaha + praga khan",1
"2686","fatman scoop & crooklyn clan + soul ii soul",1
"2687","fatman scoop ft. crooklyn clan",3
"2688","fatman scoop ft. faith evans and the crooklyn clan",3
"2689","fatoumata diawara",2
"2690","fats domino",15
"2691","faul ft. wad ad & pnau",19
"2692","faust",1
"2693","fay lovsky",1
"2694","fay lovsky/wigbert",1
"2695","feargal sharkey",31
"2696","fedde le grand",1
"2697","fedde le grand & dannic vs. coco star",3
"2698","fedde le grand & ida corr",47
"2699","feder",1
"2700","feder ft. lyse",12
"2701","fehlfarben",1
